discounted_reward,final_state_type,i_run,n_steps,policy_key,undiscounted_reward
-2.035052425433391,success,1,89,DESPOT_defaultPolicy,0.7000000000000028
-1.9064503518121851,success,1,88,DESPOT_analyticBounds,0.9000000000000021
-0.0718101578543866,success,1,68,POMCPOW_rolloutEstimate,2.9000000000000004
-3.452591988915168,success,1,107,POMCPOW_analyticValueEstimate,-1.1999999999999957
-0.26582263005327,success,1,70,MostLikelyStateController,2.700000000000001
0.022825226241589114,success,2,67,DESPOT_defaultPolicy,3
-8.06681986518672,success,2,205,DESPOT_analyticBounds,-11.900000000000016
-2.434336484907509,success,2,91,POMCPOW_rolloutEstimate,0.1000000000000032
-4.759194452516474,success,2,127,POMCPOW_analyticValueEstimate,-3.3999999999999932
-6.806517194159753,success,2,172,MostLikelyStateController,-8.00000000000001
-9.57853596787405,nonterminal,3,300,DESPOT_defaultPolicy,-30.100000000000023
-9.876269725637512,nonterminal,3,300,DESPOT_analyticBounds,-30.50000000000002
-10.182703449496726,failure,3,10,POMCPOW_rolloutEstimate,-11.1
-1.8925185155705053,success,3,87,POMCPOW_analyticValueEstimate,0.9000000000000004
3.7111995814416443,success,3,37,MostLikelyStateController,6.1000000000000005
7.1011670928257695,success,4,15,DESPOT_defaultPolicy,8.3
7.1011670928257695,success,4,15,DESPOT_analyticBounds,8.3
-6.37322889629401,success,4,165,POMCPOW_rolloutEstimate,-6.900000000000002
5.300862916103105,success,4,26,POMCPOW_analyticValueEstimate,7.2
-0.21768291333915357,success,4,68,MostLikelyStateController,2.700000000000001
4.849293871691826,success,5,29,DESPOT_defaultPolicy,6.9
4.4064001843663725,success,5,32,DESPOT_analyticBounds,6.6
-5.7333677296639145,success,5,150,POMCPOW_rolloutEstimate,-5.299999999999997
1.8895863038973557,success,5,51,POMCPOW_analyticValueEstimate,4.7
2.8130465457864458,success,5,43,MostLikelyStateController,5.400000000000002
1.4175611741127039,success,6,55,DESPOT_defaultPolicy,4.300000000000002
-5.2708938671244905,success,6,136,DESPOT_analyticBounds,-4.399999999999997
-9.873655638842104,nonterminal,6,300,POMCPOW_rolloutEstimate,-30.400000000000023
